"1","Charlotte's Web Cafe","1215 E. Pacific Coast Hwy","Wilmington","CA","90744","charlotteswebcaffe@gmail.com","(424)477-5495","November 8th, 2016","6133_n1r5444xkdg.jpg","https://images.weedmaps.com/dispensaries/000/049/417/avatar/square_fill/1510583117-FullSizeRender.jpg","33.7911820","-118.2483000",,,"http://instagram.com/charlotteswebcafe","EARLYBIRD 10-11 FREE GRAM OF PR SHAKE OR OG PREROLL + UPGRADE 8TH 4 GRAMS?HAPPY HOUR 4-6 EVERYDAY UPGRADE TO 4 GRAM 8THS OR FREE HOUSE PREROLL! 4G 8THS ON PR ALL DAY EVERY DAY! 5G TOPSHELF 35$ 5G PR 45$?LEAVE A REVIEW AND GET A FREE JOINT?OR JOLLY RANCHER","https://weedmaps.com/dispensaries/charlotte-s-web-cafe"
"2","25CAP - Van Nuys Solutions","7301 Sepulveda Blvd","Van Nuys","Ca","91405","organica@gmail.com","818-466-4295","June 3rd, 2016","6141_dwwts022yrr.jpg","https://images.weedmaps.com/dispensaries/000/047/731/avatar/square_fill/1510582970-large_LOGO.jpg","34.2034370","-118.4666310",,,"http://instagram.com/vannuyssolutions_preico","EARLY BIRD SPECIAL 10AM-11AM! -ALL EDIBLES ARE 15% OFF! -HOUSE CRUMBLE @ 2G FOR 40! ? HAPPY HOUR SPECIAL 12PM-4:20PM! - ALL CANNABIS CUP QUARTERS ARE ON SPECIAL FROM 90 TO 80! - ALL NAME BRAND CONCENTRATES ARE 10% OFF FULL GRAMS! -REFERRALS GET A FREE G!","https://weedmaps.com/dispensaries/organica"
"3","PAC Center","4525 Broadway Suite G","Modesto","CA","95368","paccenter215@gmail.com","209-360-1423","August 1st, 2017","6146_4qtxwwftcwu.jpg","https://images.weedmaps.com/dispensaries/000/052/878/avatar/square_fill/1510583297-1507241829-PAC.JPG","37.7076820","-121.0838500",,,"http://instagram.com/Pac_center215","15% Off For Veterans! 15% Off For Tesla Employees! 15% Off for Senior Citizens! Can not combine discount with first time member deal :]","https://weedmaps.com/dispensaries/pac-center-storefront"
"4","Collective Elements - Clovis","***Call for Verification***","Clovis","US","93612","collectiveelements.ca@gmail.com","(559)387-6530","April 7th, 2017","6151_0bgahbi4y3v.jpg","https://images.weedmaps.com/dispensaries/000/051/357/avatar/square_fill/1510583169-collectiveelements.jpg","36.7870210","-119.7724010",,,,"Welcoming new patients of all needs. We provide a safe and secure access to quality medication. We offer a 10% Discount for Veterans, Elderly, Disabled, and Cancer Patients! Deal of the Day: Purple Punch","https://weedmaps.com/dispensaries/collective-elements-fresno-2"
"5","OG Top Shop","8836 South Vermont","Los Angeles","CA","90044","ogtopshopla@gmail.com","(442)205-9088","December 16th, 2016","6156_t4vy5gkpohm.jpg","https://images.weedmaps.com/dispensaries/000/049/857/avatar/square_fill/1513810229-2017-12-16-PHOTO-00000071.jpg","33.9572390","-118.2912090",,,"http://instagram.com/OGTOPSHOP","_DAILY DEALS_ MON.-10% OFF EDIBLES TUE.-$5 OFF ANY HOUSE WAX WED.-DONATE $40+ AND RECIEVE 2 JOINTS OR 2 DABS THUR.-10% OFF ANY VAPE PRODUCT FRI.-OH HAPPY DAY!! (4GTH'S) SAT.-10% OFF ANY OUNCE SUN.-PICK ANY DEAL OF THE WEEK **HAPPY HOURS** __ DEALS CAN'T BE COMBINED __","https://weedmaps.com/dispensaries/vermont-gas"
"6","TREVI","13555 Magnolia Ave","Corona","CA","92879","Trevivolunteer@gmail.com","909-256-7037","March 18th, 2017","6163_zhjhurwfklw.png","https://images.weedmaps.com/dispensaries/000/051/014/avatar/square_fill/1510583143-logo.png","33.8777000","-117.5223030","http://facebook.com/Trevi Corona","http://twitter.com/trevi420","http://instagram.com/Trevi_corona","We are always accepting new volunteers! Please send a resume and 3 selfies to trevileadvol@gmail.com","https://weedmaps.com/dispensaries/trevi"
"7","BONAFIDE COLLECTIVE - Pre ICO","7570 San Fernando Rd.","Burbank","CA","91504","BonafideCollective@gmail.com","(818) 394-9353","January 12th, 2013","6168_5ko2uh110fw.jpg","https://images.weedmaps.com/dispensaries/000/021/706/avatar/square_fill/1510582128-BONAFIDE_COLLECTIVE_SIGN.jpg","34.2094049","-118.3535700","https://www.facebook.com/bonafide818","https://twitter.com/Bonafide818","http://instagram.com/collective.bonafide","http://www.bonafidecollective.com/ + TEXT ""BONAFIDE"" TO 818-962-6292 FOR OUR WEEKLY SPECIALS & DAILY DEALS + HAPPY HOUR 12PM-4:20PM 6 GRAMS OF PRIVATE RESERVE FOR $55 6 GRAMS OF TOP SHELF FOR $45 $25 GRAM OF HOUSE CONCENTRATE","https://weedmaps.com/dispensaries/bonafide-group-collective"
"8","High Trails Sunland","8517 Foothill Blvd","Sunland","CA","91040","HIGHTRAILSSUNLAND@GMAIL.COM","(818)293-9341","June 2nd, 2017","6175_d1n4k10qpdx.jpg","https://images.weedmaps.com/dispensaries/000/052/039/avatar/square_fill/1510583294-1504411703-HighTrailsLogoV5White.jpg","34.2601300","-118.3185970",,,"http://instagram.com/HIGH TRAILS SUNLAND","ANY LOYALTY CARDS FILLED WITH 8 STAMPS GETS 2 FREE GRAMS ***TOP SHELF***. REFER A PATIENT? IN PERSON, GET A FREE TOP SHELF GRAM.***LEAVE A WEEDMAPS REVIEW AND GET A FREE TOPSHELF JOINT***(VETERANS WITH MILITARY I.D. GET 10%OFF!) ***","https://weedmaps.com/dispensaries/high-trails-collective"
"9","Presidential Collective","451 Iowa Ave","Riverside","CA","92507","tsc30cap@gmail.com","951-220-9749","June 1st, 2016","6179_5ymzcwchhb5.jpg","https://images.weedmaps.com/dispensaries/000/047/687/avatar/square_fill/1511376236-1258.jpg","34.0131320","-117.3401650",,,"http://instagram.com/@NAKEDTHCWHOLESALE","FILLED STAMP CARD MAY RECEIVE ANY OF THE FOLLOWING 10% OFF -CONCENTRATES - EDIBLES OR EITHER ONE OF -DAB -JOINT -HOUSE EDIBLE -HOUSE ACCESSORIES","https://weedmaps.com/dispensaries/presidential-collective-2"
"10","Roze City","365 South Rosemead Blvd","PASADENA","CA","91107","rozecitywellness@gmail.com","(626) 460-2129","July 10th, 2015","6181_5wv4kcim5my.jpg","https://images.weedmaps.com/dispensaries/000/043/964/avatar/square_fill/1510582793-1503960142-unnamed.jpg","34.1402040","-118.0736850",,,,"? Free Parking ? ATM ? Military, Student and Disability Discount 10% OFF ? Handicap Accessible ? Pet friendly ? 24 Hour Security","https://weedmaps.com/dispensaries/nhc-natural-health"
